UFs,Códigos,População
Acre,12,803513
Alagoas,27,3340932
Amapá,16,766679
Amazonas,13,3938336
Bahia,29,15203934
Ceará,23,8904459
Distrito Federal,53,2914830
Espírito Santo,32,3929911
Goiás,52,6610681
Maranhão,21,6904241
Mato Grosso,51,3270973
Mato Grosso do Sul,50,2651235
Minas Gerais,31,20869101
Pará,15,8175113
Paraíba,25,3972202
Paraná,41,11163018
Pernambuco,26,9345173
Piauí,22,3204028
Rio Grande do Norte,24,16550024
Rio Grande do Sul,43,3442175
Rio de Janeiro,33,11247972
Rondônia,11,1768204
Roraima,14,505665
Santa Catarina,42,6819190
São Paulo,35,44396484
Sergipe,28,2242937
Tocantins,17,1515126
