,palavra,frequencia,sentimento
0,gostaria,239,negativo
1,saber,274,negativo
2,sempre,136,negativo
3,recebi,3277,negativo
4,compra,909,negativo
5,agora,689,negativo
6,decpcionou,1,negativo
7,pessimo,178,negativo
8,gostei,259,negativo
9,comprei,1882,negativo
10,gato,7,negativo
11,lebre,5,negativo
12,compro,138,negativo
13,internet,50,negativo
14,entrega,1413,negativo
15,ocorre,8,negativo
16,antes,190,negativo
17,prazo,916,negativo
18,combinado,22,negativo
19,acredito,37,negativo
20,maximo,27,negativo
21,stark,140,negativo
22,esgotou,7,negativo
23,ainda,1402,negativo
24,produto,6190,negativo
25,nada,517,negativo
26,chegar,190,negativo
27,pedido,794,negativo
28,somente,250,negativo
29,controle,71,negativo
30,midea,2,negativo
31,split,1,negativo
32,estilo,1,negativo
33,faltou,89,negativo
34,remoto,16,negativo
35,ar,9,negativo
36,condicionado,6,negativo
37,consul,3,negativo
38,chegou,1180,negativo
39,estipulado,19,negativo
40,causou,3,negativo
41,transtorno,34,negativo
42,pq,108,negativo
43,programei,1,negativo
44,viagem,9,negativo
45,ferias,1,negativo
46,filho,16,negativo
47,baseado,3,negativo
48,moro,14,negativo
49,bahia,1,negativo
50,cuiaba,1,negativo
51,sozinho,4,negativo
52,casa,149,negativo
53,vazia,9,negativo
54,inferior,88,negativo
55,mal,86,negativo
56,acabado,10,negativo
57,pedi,307,negativo
58,reembolso,82,negativo
59,resposta,338,negativo
60,momento,377,negativo
61,balde,7,negativo
62,pecas,92,negativo
63,blocos,2,negativo
64,montar,14,negativo
65,un,4,negativo
66,r,20,negativo
67,cada,53,negativo
68,entregue,1329,negativo
69,vendido,37,negativo
70,targaryen,173,negativo
71,tapete,73,negativo
72,eva,3,negativo
73,letras,1,negativo
74,criancas,4,negativo
75,entreg,3,negativo
76,tres,95,negativo
77,pacotes,16,negativo
78,cinco,13,negativo
79,folhas,5,negativo
80,papel,32,negativo
81,transfer,1,negativo
82,tecido,50,negativo
83,escuro,8,negativo
84,dois,501,negativo
85,demorou,129,negativo
86,pra,422,negativo
87,funciona,126,negativo
88,faz,112,negativo
89,sincronismo,1,negativo
90,apenas,540,negativo
91,peca,62,negativo
92,nota,365,negativo
93,garantia,19,negativo
94,constam,17,negativo
95,duas,336,negativo
96,joias,1,negativo
97,consta,154,negativo
98,sistema,31,negativo
99,alem,134,negativo
100,pagar,47,negativo
101,caro,73,negativo
102,frete,208,negativo
103,relogio,219,negativo
104,unissex,4,negativo
105,enviaram,151,negativo
106,feminino,13,negativo
107,bem,207,negativo
108,menor,53,negativo
109,especificacoes,17,negativo
110,anuncio,139,negativo
111,serviu,12,negativo
112,dia,761,negativo
113,fevereiro,14,negativo
114,hoje,277,negativo
115,marco,17,negativo
116,residencia,73,negativo
117,sei,132,negativo
118,correios,359,negativo
119,desse,43,negativo
120,brasil,7,negativo
121,propria,13,negativo
122,loja,775,negativo
123,postar,8,negativo
124,fiz,393,negativo
125,dias,437,negativo
126,precisa,29,negativo
127,melhorar,21,negativo
128,entregas,27,negativo
129,veio,1554,negativo
130,quebrado,113,negativo
131,aqui,51,negativo
132,descrevendo,4,negativo
133,posso,114,negativo
134,aguardando,424,negativo
135,chegada,21,negativo
136,logo,45,negativo
137,aconteca,3,negativo
138,opiniao,46,negativo
139,formada,1,negativo
140,produtos,513,negativo
141,mandei,87,negativo
142,emails,20,negativo
143,nenhum,163,negativo
144,retorno,308,negativo
145,insatisfeita,85,negativo
146,demora,212,negativo
147,detestei,13,negativo
148,atendimento,101,negativo
149,nunca,212,negativo
150,baratheon,83,negativo
151,vendia,1,negativo
152,mesmos,6,negativo
153,melhor,68,negativo
154,segundo,61,negativo
155,rastreio,44,negativo
156,parado,16,negativo
157,ribeirao,4,negativo
158,preto,76,negativo
159,sp,10,negativo
160,deu,62,negativo
161,defeito,255,negativo
162,vez,197,negativo
163,uso,55,negativo
164,anuncia,7,negativo
165,outro,435,negativo
166,umas,11,negativo
167,alcas,3,negativo
168,problemas,94,negativo
169,faltando,229,negativo
170,pino,5,negativo
171,fixacao,14,negativo
172,marcado,17,negativo
173,rastreamento,58,negativo
174,marcava,2,negativo
175,havia,86,negativo
176,sido,71,negativo
177,data,222,negativo
178,realidade,8,negativo
179,leva,4,negativo
180,quase,129,negativo
181,uteis,32,negativo
182,rapido,49,negativo
183,porem,492,negativo
184,modelo,119,negativo
185,diferente,323,negativo
186,cor,262,negativo
187,capinha,19,negativo
188,ziper,12,negativo
189,enfim,18,negativo
190,recomendo,343,negativo
191,cancelaram,26,negativo
192,liguei,51,negativo
193,lannister,540,negativo
194,atendentes,4,negativo
195,sabiam,2,negativo
196,acontecendo,20,negativo
197,bagunca,3,negativo
198,esperando,160,negativo
199,ver,56,negativo
200,vai,109,negativo
201,cobrado,29,negativo
202,acabento,2,negativo
203,foto,215,negativo
204,bonito,23,negativo
205,sintetico,4,negativo
206,feio,12,negativo
207,todo,83,negativo
208,borrado,2,negativo
209,orrivel,1,negativo
210,desordenado,1,negativo
211,sertoes,1,negativo
212,separado,17,negativo
213,separada,6,negativo
214,ruim,154,negativo
215,passou,120,negativo
216,previstos,3,negativo
217,ler,5,negativo
218,dispositivo,2,negativo
219,tentando,77,negativo
220,cancelar,113,negativo
221,desde,78,negativo
222,emissao,11,negativo
223,fiscal,260,negativo
224,avisada,8,negativo
225,correio,184,negativo
226,nenhuma,227,negativo
227,cancelamento,157,negativo
228,consigo,186,negativo
229,devolver,187,negativo
230,boa,153,negativo
231,noite,40,negativo
232,lamentavel,35,negativo
233,tantas,1,negativo
234,compras,63,negativo
235,satisfacao,149,negativo
236,sequer,32,negativo
237,importancia,3,negativo
238,reais,45,negativo
239,retor,1,negativo
240,capa,135,negativo
241,protetora,10,negativo
242,exatamente,13,negativo
243,esperava,66,negativo
244,deixa,35,negativo
245,desejar,55,negativo
246,tipo,63,negativo
247,material,115,negativo
248,qualidade,436,negativo
249,embalado,46,negativo
250,pardo,2,negativo
251,sobre,204,negativo
252,embalagem,175,negativo
253,enviado,98,negativo
254,logico,2,negativo
255,amassada,33,negativo
256,deus,3,negativo
257,sabe,20,negativo
258,funcionando,33,negativo
259,testei,6,negativo
260,ultima,30,negativo
261,pois,528,negativo
262,fazer,206,negativo
263,mes,208,negativo
264,comprar,165,negativo
265,demorar,16,negativo
266,tempo,151,negativo
267,entregar,162,negativo
268,estarei,9,negativo
269,procurando,4,negativo
270,direitos,20,negativo
271,contra,11,negativo
272,lojas,144,negativo
273,pessima,219,negativo
274,comprados,30,negativo
275,parceiro,64,negativo
276,jamais,11,negativo
277,novamente,35,negativo
278,dessa,79,negativo
279,empresa,279,negativo
280,saio,1,negativo
281,correndo,3,negativo
282,absurdo,101,negativo
283,extra,1,negativo
284,ok,35,negativo
285,fizeram,15,negativo
286,player,5,negativo
287,trocando,3,negativo
288,pilha,8,negativo
289,diversas,13,negativo
290,vezes,90,negativo
291,confianca,16,negativo
292,entregou,126,negativo
293,colocou,4,negativo
294,falsa,4,negativo
295,quero,519,negativo
296,receber,325,negativo
297,pagos,5,negativo
298,boleto,20,negativo
299,bancari,1,negativo
300,instalei,5,negativo
301,cartucho,112,negativo
302,tinta,45,negativo
303,impressora,52,negativo
304,indicou,3,negativo
305,vazio,6,negativo
306,apresentou,11,negativo
307,mensagem,61,negativo
308,erro,43,negativo
309,cima,31,negativo
310,marcador,2,negativo
311,nivel,4,negativo
312,solicitei,167,negativo
313,troca,280,negativo
314,capas,22,negativo
315,couro,16,negativo
316,compradas,18,negativo
317,aguardo,316,negativo
318,devolucao,283,negativo
319,dinheiro,315,negativo
320,segunda,64,negativo
321,maio,7,negativo
322,usei,17,negativo
323,alca,6,negativo
324,quebrou,11,negativo
325,peso,12,negativo
326,preta,49,negativo
327,vermelha,25,negativo
328,pensei,20,negativo
329,mochila,43,negativo
330,resistente,6,negativo
331,msg,11,negativo
332,informando,40,negativo
